timestamp,epoch,memUsage,loss,accuracy
1751462530.4847765,1,2042.0,2.068924903869629,21.630859375
1751462557.7765455,2,2042.0,1.735144853591919,30.6884765625
1751462584.7247438,3,2042.0,1.8257204294204712,26.8310546875
1751462611.196704,4,2042.0,1.5886139869689941,29.0771484375
1751462637.7050087,5,2042.0,1.604735016822815,33.1787109375
1751462664.1453006,6,2042.0,1.3708583116531372,33.8623046875
1751462691.0560632,7,2042.0,1.2550921440124512,43.798828125
1751462717.4640794,8,2042.0,1.3836758136749268,51.3427734375
1751462745.0633132,9,2042.0,1.071045994758606,39.208984375
1751462771.7856307,10,2042.0,1.1641238927841187,57.4951171875
