timestamp,epoch,memUsage,loss,accuracy
1751462807.019596,1,8824.0,2.096158981323242,9.619140625
1751462833.8104875,2,8826.0,1.9439374208450317,17.8466796875
1751462860.1088204,3,8826.0,1.701890230178833,25.78125
1751462886.4648793,4,8826.0,1.5822256803512573,25.4638671875
1751462913.0435202,5,8826.0,1.7012124061584473,23.2177734375
1751462939.2652378,6,8826.0,1.4963592290878296,27.099609375
1751462965.7197962,7,8826.0,1.3436434268951416,36.23046875
1751462992.627064,8,8826.0,1.3147386312484741,39.7705078125
1751463019.066265,9,8826.0,1.1856350898742676,35.888671875
1751463045.764372,10,8826.0,1.105832815170288,50.5126953125
