timestamp,epoch,memUsage,loss,accuracy
1751461898.8861785,1,634.0,2.1290416717529297,21.3134765625
1751461932.1242707,2,634.0,1.8296661376953125,29.248046875
1751461965.6462276,3,634.0,1.5778180360794067,30.5908203125
1751461999.3210907,4,634.0,1.4492934942245483,35.693359375
1751462032.391526,5,634.0,1.777725100517273,38.720703125
1751462066.1180665,6,634.0,1.9067598581314087,39.306640625
1751462099.9869459,7,634.0,2.255319595336914,43.65234375
1751462133.9230168,8,634.0,1.7800060510635376,44.287109375
1751462167.647652,9,636.0,0.9990673661231995,46.6796875
1751462201.2964005,10,636.0,1.1960210800170898,49.3408203125
