timestamp,epoch,memUsage,loss,accuracy
1751462252.1477687,1,968.0,2.2317135334014893,19.43359375
1751462279.1841671,2,968.0,1.8346494436264038,36.1572265625
1751462305.502774,3,968.0,1.5022401809692383,36.71875
1751462332.4018228,4,968.0,1.9506369829177856,37.6708984375
1751462358.562637,5,968.0,1.5734084844589233,43.8232421875
1751462384.7525928,6,968.0,1.8152928352355957,38.6474609375
1751462410.9374528,7,968.0,1.404326319694519,53.02734375
1751462437.1373951,8,968.0,1.5394597053527832,51.5625
1751462463.1769195,9,968.0,1.114083170890808,55.078125
1751462489.5712128,10,968.0,0.8951013088226318,54.7119140625
